CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
GRAN TOTAL,"19,534","19,241","20,389","21,257","21,836","22,018","18,592","18,228","17,934","19,297","18,697","18,636","235,659"
TOTAL DE ROBOS,"11,492","10,881","11,455","11,598","12,026","11,734","12,282","11,889","11,679","13,011","12,560","12,460","143,067"
TOTAL DE ROBO CON VIOLENCIA,"6,587","6,294","6,452","6,702","7,044","6,927","7,333","7,063","7,221","8,292","7,951","7,903","85,769"
A TRANSPORTISTAS,"2,070","1,883","1,823","1,901","2,008","1,908","1,944","1,778","1,833","2,138","1,972","1,927","23,185"
A BANCOS,3,7,6,7,8,6,8,6,9,9,19,11,99
A CASAS DE CAMBIO,0,0,0,0,0,0,0,0,0,0,0,0,0
A CASAS DE BOLSA,0,0,0,0,0,0,0,0,0,0,0,0,0
A TRANSEUNTE,"2,285","2,308","2,463","2,674","2,787","2,767","2,888","3,019","3,062","3,473","3,209","3,335","34,270"
DE VEHICULO,"1,643","1,577","1,639","1,609","1,729","1,695","1,863","1,616","1,703","1,978","2,140","2,049","21,241"
TOTAL DE ROBO SIN VIOLENCIA,"4,905","4,587","5,003","4,896","4,982","4,807","4,949","4,826","4,458","4,719","4,609","4,557","57,298"
DE VEHÍCULO,"3,077","2,932","3,265","3,155","3,208","3,096","3,255","3,225","2,897","3,066","3,077","2,986","37,239"
FRAUDE,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUSO DE CONFIANZA,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTORSION,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,728","1,885","2,087","2,044","2,093","2,322","2,082","2,113","2,020","2,043","1,916","1,959","24,292"
TOTAL DE HOMICIDIOS,70,96,74,68,78,69,76,87,95,78,94,92,977
POR ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0,0
POR ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE MUERTES NO DELICTIVAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE DEFUNCIONES,70,96,74,68,78,69,76,87,95,78,94,92,977
TOTAL DE DELITOS SEXUALES,109,110,140,129,138,166,120,107,108,133,95,93,"1,448"
VIOLACION,109,110,140,129,138,166,120,107,108,133,95,93,"1,448"
ESTUPRO,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS DELITOS (TOTAL),"6,135","6,269","6,633","7,418","7,501","7,727","4,032","4,032","4,032","4,032","4,032","4,032","65,875"
SECUESTRO,2,2,1,3,6,8,0,0,0,0,0,0,22
AMENAZAS,0,0,0,0,0,0,0,0,0,0,0,0,0
DAÑO EN PROPIEDAD AJENA,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE INCOMPETENCIAS,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTACION DE ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,0,0,0,0,0,0,0,0,0,0,0,0,0
